,category,title,cash_price,store,link,created_at
61,notebooks,Notebook Gamer ASUS ROG Zephyrus G14 GA401IHR-K2053T IHR Ryzen...,1534109.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-rog-zephyrus-ga401-ihr-ryzen-7-4800hs-16gb-512gb-1650-14-w10.html,2023-08-28 13:20:35
62,notebooks,Notebook Bangho Game Master 15Z12 Core i7 12700H 32Gb SSD 2Tb...,1569990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i7-12700h-32gb-ssd-2tb-rtx-3060-15-6-144hz-w11.html,2023-08-28 13:20:35
63,notebooks,Notebook Apple MacBook Pro M1 13 Inches 8Gb 256Gb Space Grey,1603159.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-pro-m1-13-8gb-256gb-space-grey.html,2023-08-28 13:20:35
64,notebooks,Notebook Apple Macbook Pro M1 13 8Gb 512Gb Space Grey,1670669.0,venex,https://www.venex.com.ar//notebooks/notebook-apple-macbook-pro-m1-13-8gb-512gb-space-grey.html,2023-08-28 13:20:35
65,notebooks,Notebook ASUS Zenbook Duo 14 UX482EGR-KA337W Core i7 1195G7...,1687519.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-zenbook-ux482egr-ka337w-core-i7-1195g7-16gb-ssd-1tb-mx-450-14-w11.html,2023-08-28 13:20:35
66,notebooks,Notebook Gigabyte Aero 16 KE5 i7 12700H 16Gb SSD 1Tb RTX 3060P...,1999999.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-16-ke5-i7-12700h-16gb-ssd-1tb-rtx-3060p-16-w11.html,2023-08-28 13:20:35
67,notebooks,Notebook Gigabyte Aorus 17G i7 11800H RTX 3070 16Gb SSD 512Gb...,2041919.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-17g-i7-11800h-rtx-3070-16gb-ssd-512gb-17-w10.html,2023-08-28 13:20:35
68,notebooks,Notebook Gigabyte Aero 5 KE4 i7 12700H 16Gb SSD 1Tb RTX 3060...,2100959.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-5-ke4-i7-12700h-16gb-ssd-1tb-rtx-3060-15-6-w10.html,2023-08-28 13:20:35
69,notebooks,Notebook Gigabyte Aero 17 XE5 12700H 16Gb DDR5 NVME 1Tb + 1Tb...,2227549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-17-xe5-12700h-16gb-ddr5-nvme-1tb-1tb-rtx-3070ti-17-3-fhd-miniled-w11.html,2023-08-28 13:20:35
70,notebooks,Notebook Gigabyte Aorus 5 SE4 i7 12700H 16Gb SSD 512Gb RTX 3070...,2227549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-5-se4-i7-12700h-16gb-ssd-512gb-rtx-3070-15-6-240hz-w11.html,2023-08-28 13:20:35
71,notebooks,Notebook Gigabyte Aorus 17 XE5 i7 12700H 16Gb SSD 1Tb RTX...,2278169.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-17-ke5-i7-12700h-16gb-ssd-1tb-rtx-3070ti-p-16-w11.html,2023-08-28 13:20:35
72,notebooks,Notebook Gigabyte Aero 16 KE5 i7 12700H 16Gb SSD 1Tb RTX 3070Ti...,2362549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-16-ke5-i7-12700h-16gb-ssd-1tb-rtx-3070ti-p-16-w11.html,2023-08-28 13:20:35
