category,title,cash_price,store,link,brand,model,processor,memory,storage,created_at
notebooks,Notebook Asus Zenbook Duo 14 Ux482Egr-Ka337W Core I7 1195G7...,1687519.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-zenbook-ux482egr-ka337w-core-i7-1195g7-16gb-ssd-1tb-mx-450-14-w11.html,Asus,90NB0S51-M07020,Intel Core i7 1195G7,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aero 16 Ke5 I7 12700H 16Gb Ssd 1Tb Rtx 3060P...,1999999.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-16-ke5-i7-12700h-16gb-ssd-1tb-rtx-3060p-16-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aero 5 Ke4 I7 12700H 16Gb Ssd 1Tb Rtx 3060...,2100959.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-5-ke4-i7-12700h-16gb-ssd-1tb-rtx-3060-15-6-w10.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aero 17 Xe5 12700H 16Gb Ddr5 Nvme 1Tb + 1Tb...,2227549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-17-xe5-12700h-16gb-ddr5-nvme-1tb-1tb-rtx-3070ti-17-3-fhd-miniled-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16Gb DDR5,16Gb DDR5,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aorus 5 Se4 I7 12700H 16Gb Ssd 512Gb Rtx 3070...,2227549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-5-se4-i7-12700h-16gb-ssd-512gb-rtx-3070-15-6-240hz-w11.html,Gigabyte,AORUS,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aorus 17 Xe5 I7 12700H 16Gb Ssd 1Tb Rtx...,2278169.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-17-ke5-i7-12700h-16gb-ssd-1tb-rtx-3070ti-p-16-w11.html,Gigabyte,AORUS,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aero 16 Ke5 I7 12700H 16Gb Ssd 1Tb Rtx 3070Ti...,2362549.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-16-ke5-i7-12700h-16gb-ssd-1tb-rtx-3070ti-p-16-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aorus 15 Xe4 I7 12700H 16Gb Ssd Nvme 1Tb Rtx...,2430059.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aorus-15-xe4-i7-12700h-16gb-ssd-nvme-1tb-rtx-3070ti-15-6-w10.html,Gigabyte,AORUS,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aero Xe5 I7 12700H 16Gb Ssd 1Tb + 1Tb Rtx...,2446919.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-xe5-i7-12700h-16gb-ssd-1tb-1tb-rtx-3070ti-16-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Gigabyte Aero 17 Ke5 I7 12700H 16Gb Ssd Nvme 1Tb Rtx...,2480689.0,venex,https://www.venex.com.ar//notebooks/notebook-gigabyte-aero-17-ke5-i7-12700h-16gb-ssd-nvme-1tb-rtx-3060-17-3-uhd-w11.html,Gigabyte,AERO,Intel Core i7 12700H,16 Gigas,16 Gigas,2023-09-04 10:49:24
